timestamp,message
1771250682042,"{""time"":""2026-02-16T14:04:42.042094737Z"",""stream"":""stderr"",""_p"":""F"",""log"":""INFO:src.services.summarize_service:Getting notes for claim CLM-2024-001, environment: production"",""kubernetes"":{""pod_name"":""claims-api-c6878ff94-bd9tr"",""namespace_name"":""default"",""pod_id"":""bb838491-4017-4502-80a5-367d708d7ec9"",""host"":""ip-10-0-11-161.ec2.internal"",""pod_ip"":""10.0.11.118"",""container_name"":""introspect2-claims-api"",""docker_id"":""5c4e53b27e13f653ba948b3ad761b1955bafb92066f56f76633a12f99146705f"",""container_hash"":""621262609834.dkr.ecr.us-east-1.amazonaws.com/introspect2-claims-api@sha256:33165a4b4dedf83dce35ca7cb4ce25ee2bab23f81ccec9854c655ca4429b9364"",""container_image"":""621262609834.dkr.ecr.us-east-1.amazonaws.com/introspect2-claims-api:latest""}}"
1771250682042,"{""time"":""2026-02-16T14:04:42.042108659Z"",""stream"":""stderr"",""_p"":""F"",""log"":""INFO:src.services.summarize_service:Reading from S3: bucket=claim-notes-621262609834-us-east-1, key=notes.json"",""kubernetes"":{""pod_name"":""claims-api-c6878ff94-bd9tr"",""namespace_name"":""default"",""pod_id"":""bb838491-4017-4502-80a5-367d708d7ec9"",""host"":""ip-10-0-11-161.ec2.internal"",""pod_ip"":""10.0.11.118"",""container_name"":""introspect2-claims-api"",""docker_id"":""5c4e53b27e13f653ba948b3ad761b1955bafb92066f56f76633a12f99146705f"",""container_hash"":""621262609834.dkr.ecr.us-east-1.amazonaws.com/introspect2-claims-api@sha256:33165a4b4dedf83dce35ca7cb4ce25ee2bab23f81ccec9854c655ca4429b9364"",""container_image"":""621262609834.dkr.ecr.us-east-1.amazonaws.com/introspect2-claims-api:latest""}}"
1771250682310,"{""time"":""2026-02-16T14:04:42.310623345Z"",""stream"":""stderr"",""_p"":""F"",""log"":""INFO:src.services.summarize_service:Found 2 notes for claim CLM-2024-001"",""kubernetes"":{""pod_name"":""claims-api-c6878ff94-bd9tr"",""namespace_name"":""default"",""pod_id"":""bb838491-4017-4502-80a5-367d708d7ec9"",""host"":""ip-10-0-11-161.ec2.internal"",""pod_ip"":""10.0.11.118"",""container_name"":""introspect2-claims-api"",""docker_id"":""5c4e53b27e13f653ba948b3ad761b1955bafb92066f56f76633a12f99146705f"",""container_hash"":""621262609834.dkr.ecr.us-east-1.amazonaws.com/introspect2-claims-api@sha256:33165a4b4dedf83dce35ca7cb4ce25ee2bab23f81ccec9854c655ca4429b9364"",""container_image"":""621262609834.dkr.ecr.us-east-1.amazonaws.com/introspect2-claims-api:latest""}}"
1771250682310,"{""time"":""2026-02-16T14:04:42.310943577Z"",""stream"":""stderr"",""_p"":""F"",""log"":""INFO:src.services.summarize_service:Invoking Bedrock model: amazon.nova-pro-v1:0"",""kubernetes"":{""pod_name"":""claims-api-c6878ff94-bd9tr"",""namespace_name"":""default"",""pod_id"":""bb838491-4017-4502-80a5-367d708d7ec9"",""host"":""ip-10-0-11-161.ec2.internal"",""pod_ip"":""10.0.11.118"",""container_name"":""introspect2-claims-api"",""docker_id"":""5c4e53b27e13f653ba948b3ad761b1955bafb92066f56f76633a12f99146705f"",""container_hash"":""621262609834.dkr.ecr.us-east-1.amazonaws.com/introspect2-claims-api@sha256:33165a4b4dedf83dce35ca7cb4ce25ee2bab23f81ccec9854c655ca4429b9364"",""container_image"":""621262609834.dkr.ecr.us-east-1.amazonaws.com/introspect2-claims-api:latest""}}"
1771250684200,"{""time"":""2026-02-16T14:04:44.200698729Z"",""stream"":""stderr"",""_p"":""F"",""log"":""INFO:src.services.summarize_service:Bedrock response: {\""ResponseMetadata\"": {\""RequestId\"": \""520e6d7f-46a0-4d27-ad70-5b0b7377ee54\"", \""HTTPStatusCode\"": 200, \""HTTPHeaders\"": {\""date\"": \""Mon, 16 Feb 2026 14:04:44 GMT\"", \""content-type\"": \""application/json\"", \""content-length\"": \""1325\"", \""connection\"": \""keep-alive\"", \""x-amzn-requestid\"": \""520e6d7f-46a0-4d27-ad70-5b0b7377ee54\""}, \""RetryAttempts\"": 1}, \""output\"": {\""message\"": {\""role\"": \""assistant\"", \""content\"": [{\""text\"": \""```json\
{\
  \\\""overallSummary\\\"": \\\""On January 15, 2024, John Smith reported a rear-end collision at the in"",""kubernetes"":{""pod_name"":""claims-api-c6878ff94-bd9tr"",""namespace_name"":""default"",""pod_id"":""bb838491-4017-4502-80a5-367d708d7ec9"",""host"":""ip-10-0-11-161.ec2.internal"",""pod_ip"":""10.0.11.118"",""container_name"":""introspect2-claims-api"",""docker_id"":""5c4e53b27e13f653ba948b3ad761b1955bafb92066f56f76633a12f99146705f"",""container_hash"":""621262609834.dkr.ecr.us-east-1.amazonaws.com/introspect2-claims-api@sha256:33165a4b4dedf83dce35ca7cb4ce25ee2bab23f81ccec9854c655ca4429b9364"",""container_image"":""621262609834.dkr.ecr.us-east-1.amazonaws.com/introspect2-claims-api:latest""}}"
1771250684200,"{""time"":""2026-02-16T14:04:44.200736332Z"",""stream"":""stderr"",""_p"":""F"",""log"":""INFO:src.services.summarize_service:Extracted content: ```json"",""kubernetes"":{""pod_name"":""claims-api-c6878ff94-bd9tr"",""namespace_name"":""default"",""pod_id"":""bb838491-4017-4502-80a5-367d708d7ec9"",""host"":""ip-10-0-11-161.ec2.internal"",""pod_ip"":""10.0.11.118"",""container_name"":""introspect2-claims-api"",""docker_id"":""5c4e53b27e13f653ba948b3ad761b1955bafb92066f56f76633a12f99146705f"",""container_hash"":""621262609834.dkr.ecr.us-east-1.amazonaws.com/introspect2-claims-api@sha256:33165a4b4dedf83dce35ca7cb4ce25ee2bab23f81ccec9854c655ca4429b9364"",""container_image"":""621262609834.dkr.ecr.us-east-1.amazonaws.com/introspect2-claims-api:latest""}}"
1771250684201,"{""time"":""2026-02-16T14:04:44.201452363Z"",""stream"":""stderr"",""_p"":""F"",""log"":""INFO:werkzeug:10.0.10.97 - - [16/Feb/2026 14:04:44] \""POST /claims/CLM-2024-001/summarize HTTP/1.1\"" 200 -"",""kubernetes"":{""pod_name"":""claims-api-c6878ff94-bd9tr"",""namespace_name"":""default"",""pod_id"":""bb838491-4017-4502-80a5-367d708d7ec9"",""host"":""ip-10-0-11-161.ec2.internal"",""pod_ip"":""10.0.11.118"",""container_name"":""introspect2-claims-api"",""docker_id"":""5c4e53b27e13f653ba948b3ad761b1955bafb92066f56f76633a12f99146705f"",""container_hash"":""621262609834.dkr.ecr.us-east-1.amazonaws.com/introspect2-claims-api@sha256:33165a4b4dedf83dce35ca7cb4ce25ee2bab23f81ccec9854c655ca4429b9364"",""container_image"":""621262609834.dkr.ecr.us-east-1.amazonaws.com/introspect2-claims-api:latest""}}"
1771250934929,"{""time"":""2026-02-16T14:08:54.929633756Z"",""stream"":""stderr"",""_p"":""F"",""log"":""INFO:src.services.summarize_service:Getting notes for claim CLM-2024-001, environment: production"",""kubernetes"":{""pod_name"":""claims-api-c6878ff94-bd9tr"",""namespace_name"":""default"",""pod_id"":""bb838491-4017-4502-80a5-367d708d7ec9"",""host"":""ip-10-0-11-161.ec2.internal"",""pod_ip"":""10.0.11.118"",""container_name"":""introspect2-claims-api"",""docker_id"":""5c4e53b27e13f653ba948b3ad761b1955bafb92066f56f76633a12f99146705f"",""container_hash"":""621262609834.dkr.ecr.us-east-1.amazonaws.com/introspect2-claims-api@sha256:33165a4b4dedf83dce35ca7cb4ce25ee2bab23f81ccec9854c655ca4429b9364"",""container_image"":""621262609834.dkr.ecr.us-east-1.amazonaws.com/introspect2-claims-api:latest""}}"
1771250934929,"{""time"":""2026-02-16T14:08:54.929649308Z"",""stream"":""stderr"",""_p"":""F"",""log"":""INFO:src.services.summarize_service:Reading from S3: bucket=claim-notes-621262609834-us-east-1, key=notes.json"",""kubernetes"":{""pod_name"":""claims-api-c6878ff94-bd9tr"",""namespace_name"":""default"",""pod_id"":""bb838491-4017-4502-80a5-367d708d7ec9"",""host"":""ip-10-0-11-161.ec2.internal"",""pod_ip"":""10.0.11.118"",""container_name"":""introspect2-claims-api"",""docker_id"":""5c4e53b27e13f653ba948b3ad761b1955bafb92066f56f76633a12f99146705f"",""container_hash"":""621262609834.dkr.ecr.us-east-1.amazonaws.com/introspect2-claims-api@sha256:33165a4b4dedf83dce35ca7cb4ce25ee2bab23f81ccec9854c655ca4429b9364"",""container_image"":""621262609834.dkr.ecr.us-east-1.amazonaws.com/introspect2-claims-api:latest""}}"
1771250935027,"{""time"":""2026-02-16T14:08:55.02792837Z"",""stream"":""stderr"",""_p"":""F"",""log"":""INFO:src.services.summarize_service:Found 2 notes for claim CLM-2024-001"",""kubernetes"":{""pod_name"":""claims-api-c6878ff94-bd9tr"",""namespace_name"":""default"",""pod_id"":""bb838491-4017-4502-80a5-367d708d7ec9"",""host"":""ip-10-0-11-161.ec2.internal"",""pod_ip"":""10.0.11.118"",""container_name"":""introspect2-claims-api"",""docker_id"":""5c4e53b27e13f653ba948b3ad761b1955bafb92066f56f76633a12f99146705f"",""container_hash"":""621262609834.dkr.ecr.us-east-1.amazonaws.com/introspect2-claims-api@sha256:33165a4b4dedf83dce35ca7cb4ce25ee2bab23f81ccec9854c655ca4429b9364"",""container_image"":""621262609834.dkr.ecr.us-east-1.amazonaws.com/introspect2-claims-api:latest""}}"
